Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),3/49,0.0016825893967761,0.0120866995006223,0,0,13.925666199158483,88.94909779620225,PIK3CA;SRC;HDAC6
GO_Biological_Process_2025,Protein Localization to Chromosome (GO:0034502),3/49,0.0016825893967761,0.0120866995006223,0,0,13.925666199158483,88.94909779620225,PLK1;SIRT6;ESR1
GO_Biological_Process_2025,Steroid Metabolic Process (GO:0008202),4/106,0.001703653188163,0.0120866995006223,0,0,8.44075021312873,53.80961716461471,CBR1;HSD17B1;CYP1B1;CYP19A1
GO_Biological_Process_2025,Cardiac Cell Development (GO:0055006),2/13,0.0017182072819512,0.0120866995006223,0,0,38.47775628626693,244.9676276502863,TTR;VEGFA
GO_Biological_Process_2025,Embryonic Hemopoiesis (GO:0035162),2/13,0.0017182072819512,0.0120866995006223,0,0,38.47775628626693,244.9676276502863,KIT;KDR
GO_Biological_Process_2025,"Negative Regulation of DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0043518)",2/13,0.0017182072819512,0.0120866995006223,0,0,38.47775628626693,244.9676276502863,KDM1A;DYRK1A
GO_Biological_Process_2025,Positive Regulation of Protein Export From Nucleus (GO:0046827),2/13,0.0017182072819512,0.0120866995006223,0,0,38.47775628626693,244.9676276502863,GSK3B;SIRT6
GO_Biological_Process_2025,Protein Deacetylation (GO:0006476),2/13,0.0017182072819512,0.0120866995006223,0,0,38.47775628626693,244.9676276502863,SIRT6;HDAC6
GO_Biological_Process_2025,Cellular Response to Insulin Stimulus (GO:0032869),4/108,0.001824546374544,0.0127250413814351,0,0,8.277591973244148,52.2020037281825,GSK3B;PKM;PIK3CA;MTOR
GO_Biological_Process_2025,Positive Regulation of DNA Metabolic Process (GO:0051054),4/108,0.001824546374544,0.0127250413814351,0,0,8.277591973244148,52.2020037281825,CDK2;SIRT6;MAPKAPK5;VEGFA
GO_Biological_Process_2025,Blood Vessel Morphogenesis (GO:0048514),3/51,0.0018887419901292,0.013006020792789,0,0,13.344086021505376,83.69202965543494,KDR;CYP1B1;VEGFA
GO_Biological_Process_2025,Epithelial to Mesenchymal Transition (GO:0001837),3/51,0.0018887419901292,0.013006020792789,0,0,13.344086021505376,83.69202965543494,GSK3B;HIF1A;FGFR1
GO_Biological_Process_2025,Macromolecule Glycosylation (GO:0043413),3/51,0.0018887419901292,0.013006020792789,0,0,13.344086021505376,83.69202965543494,FUT7;FUT4;ST3GAL3
GO_Biological_Process_2025,Regulation of Telomere Maintenance (GO:0032204),3/52,0.0019974552526144,0.0135321915258389,0,0,13.071099407504937,81.24840214579592,SRC;SIRT6;MAPKAPK5
GO_Biological_Process_2025,Response to Muscle Stretch (GO:0035994),2/14,0.0019983199495877,0.0135321915258389,0,0,35.269503546099294,219.2157820877061,TTR;PIK3CA
GO_Biological_Process_2025,Extrinsic Apoptotic Signaling Pathway in Absence of Ligand (GO:0097192),2/14,0.0019983199495877,0.0135321915258389,0,0,35.269503546099294,219.2157820877061,GSK3B;BCL2
GO_Biological_Process_2025,Fucosylation (GO:0036065),2/14,0.0019983199495877,0.0135321915258389,0,0,35.269503546099294,219.2157820877061,FUT7;FUT4
GO_Biological_Process_2025,Positive Regulation of Cellular Component Organization (GO:0051130),4/111,0.0020168554924576,0.013601273403681,0,0,8.044290938642828,49.9246044562647,GSK3B;MMP1;SNCA;VEGFA
GO_Biological_Process_2025,Regulation of Focal Adhesion Assembly (GO:0051893),3/53,0.0021099899675299,0.0141127197828235,0,0,12.809032258064516,78.91737109678841,SRC;KDR;VEGFA
GO_Biological_Process_2025,Regulation of Microtubule Polymerization (GO:0031113),3/53,0.0021099899675299,0.0141127197828235,0,0,12.809032258064516,78.91737109678841,DYRK1A;MAPT;SNCA
GO_Biological_Process_2025,Regulation of Signal Transduction by P53 Class Mediator (GO:1901796),3/54,0.0022263925859746,0.0148305008175943,0,0,12.557242251739403,76.69175823690271,DYRK2;MAPKAPK5;MTOR
GO_Biological_Process_2025,Amyloid Precursor Protein Catabolic Process (GO:0042987),2/15,0.0022985611577693,0.0150050072379182,0,0,32.55482815057283,197.78594479007495,BACE1;DYRK1A
GO_Biological_Process_2025,Regulation of Neuroblast Proliferation (GO:1902692),2/15,0.0022985611577693,0.0150050072379182,0,0,32.55482815057283,197.78594479007495,KDM1A;VEGFA
GO_Biological_Process_2025,Astrocyte Development (GO:0014002),2/15,0.0022985611577693,0.0150050072379182,0,0,32.55482815057283,197.78594479007495,APP;MAPT
GO_Biological_Process_2025,Mitotic Recombination (GO:0006312),2/15,0.0022985611577693,0.0150050072379182,0,0,32.55482815057283,197.78594479007495,RAD52;TERT
GO_Biological_Process_2025,Prostaglandin Biosynthetic Process (GO:0001516),2/15,0.0022985611577693,0.0150050072379182,0,0,32.55482815057283,197.78594479007495,PTGS1;PTGES
GO_Biological_Process_2025,Regulation of Cytokine Production Involved in Inflammatory Response (GO:1900015),3/55,0.0023467086457697,0.0151977321821281,0,0,12.3151364764268,74.56496801057935,ALOX5;MAPK14;HIF1A
GO_Biological_Process_2025,Striated Muscle Contraction (GO:0006941),3/55,0.0023467086457697,0.0151977321821281,0,0,12.3151364764268,74.56496801057935,KCNH2;TTR;PIK3CA
GO_Biological_Process_2025,Protein Complex Oligomerization (GO:0051259),4/116,0.0023678082581693,0.0152737671040808,0,0,7.683229813664596,46.45119810332112,APP;STING1;MAPT;SNCA
GO_Biological_Process_2025,Positive Regulation of Epithelial Cell Proliferation (GO:0050679),4/118,0.0025192540691523,0.0161867033104592,0,0,7.547673531655225,45.163711709479344,MMP12;KDR;HIF1A;VEGFA
GO_Biological_Process_2025,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),12/983,0.0025866270488792,0.0162500989027059,0,0,2.785493600117699,16.59430110460314,MMP12;APP;RPS6KA3;PKM;KDM1A;STING1;STAT1;MAPKAPK5;HIF1A;ESR1;ESR2;VEGFA
GO_Biological_Process_2025,Heart Morphogenesis (GO:0003007),3/57,0.002599258732796,0.0162500989027059,0,0,11.857825567502989,70.58405029921917,ADAMTS5;TTR;VEGFA
GO_Biological_Process_2025,Regulation of Stem Cell Proliferation (GO:0072091),2/16,0.00261873530111,0.0162500989027059,0,0,30.227963525835865,179.70717131978577,KDM1A;TERT
GO_Biological_Process_2025,Regulation of Superoxide Anion Generation (GO:0032928),2/16,0.00261873530111,0.0162500989027059,0,0,30.227963525835865,179.70717131978577,APP;MAPT
GO_Biological_Process_2025,Response to UV-B (GO:0010224),2/16,0.00261873530111,0.0162500989027059,0,0,30.227963525835865,179.70717131978577,MMP12;MAPK14
GO_Biological_Process_2025,Mitochondrion Transport Along Microtubule (GO:0047497),2/16,0.00261873530111,0.0162500989027059,0,0,30.227963525835865,179.70717131978577,MAPT;HIF1A
GO_Biological_Process_2025,Mitotic Chromosome Condensation (GO:0007076),2/16,0.00261873530111,0.0162500989027059,0,0,30.227963525835865,179.70717131978577,TTR;PLK1
GO_Biological_Process_2025,Negative Regulation of Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:1902254),2/16,0.00261873530111,0.0162500989027059,0,0,30.227963525835865,179.70717131978577,KDM1A;BCL2
GO_Biological_Process_2025,Positive Regulation of Superoxide Anion Generation (GO:0032930),2/16,0.00261873530111,0.0162500989027059,0,0,30.227963525835865,179.70717131978577,APP;MAPT
GO_Biological_Process_2025,Negative Regulation of Transcription by RNA Polymerase II (GO:0000122),10/732,0.0026883921393139,0.0166191514066679,0,0,3.0892868646524514,18.284908109722306,APP;KDM1A;SRC;STAT1;PLK1;SIRT6;ESR1;ESR2;SNCA;VEGFA
GO_Biological_Process_2025,ERBB Signaling Pathway (GO:0038127),3/58,0.0027315793537999,0.0166963951513163,0,0,11.641642228739004,68.71916258682624,PIK3CA;SRC;HDAC6
GO_Biological_Process_2025,Sprouting Angiogenesis (GO:0002040),3/58,0.0027315793537999,0.0166963951513163,0,0,11.641642228739004,68.71916258682624,KDR;PGF;VEGFA
GO_Biological_Process_2025,Mesenchymal Cell Differentiation (GO:0048762),3/58,0.0027315793537999,0.0166963951513163,0,0,11.641642228739004,68.71916258682624,GSK3B;HIF1A;FGFR1
GO_Biological_Process_2025,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),4/121,0.002758714184943,0.0167368830848587,0,0,7.3530286138981795,43.33132837696098,FLT3;AXL;KDR;FYN
GO_Biological_Process_2025,Negative Regulation of Inflammatory Response (GO:0050728),4/121,0.002758714184943,0.0167368830848587,0,0,7.3530286138981795,43.33132837696098,SRC;ALOX5;FYN;MAPK14
GO_Biological_Process_2025,Negative Regulation of DNA-binding Transcription Factor Activity (GO:0043433),4/122,0.0028418810672584,0.0171775922287623,0,0,7.290346352247605,42.74540829097191,KDM1A;ADORA3;CYP1B1;ESR1
GO_Biological_Process_2025,Renal System Development (GO:0072001),3/59,0.0028679866225398,0.0172714175940405,0,0,11.433179723502304,66.9314921484465,MMP12;STAT1;VEGFA
GO_Biological_Process_2025,Cellular Response to Molecule of Bacterial Origin (GO:0071219),4/123,0.002926749985352,0.0173065010303947,0,0,7.228717573986116,42.17134576305843,AXL;SERPINE1;MAPK14;MMP9
GO_Biological_Process_2025,TORC1 Signaling (GO:0038202),2/17,0.0029586481540932,0.0173065010303947,0,0,28.21134751773049,164.2753203692656,RPS6KA3;MTOR
GO_Biological_Process_2025,Negative Regulation of Anoikis (GO:2000811),2/17,0.0029586481540932,0.0173065010303947,0,0,28.21134751773049,164.2753203692656,PIK3CA;SRC
GO_Biological_Process_2025,Negative Regulation of Cation Transmembrane Transport (GO:1904063),2/17,0.0029586481540932,0.0173065010303947,0,0,28.21134751773049,164.2753203692656,KCNH2;MMP9
GO_Biological_Process_2025,Negative Regulation of Cellular Senescence (GO:2000773),2/17,0.0029586481540932,0.0173065010303947,0,0,28.21134751773049,164.2753203692656,TERT;SIRT6
GO_Biological_Process_2025,Neuron Projection Organization (GO:0106027),2/17,0.0029586481540932,0.0173065010303947,0,0,28.21134751773049,164.2753203692656,APP;GSK3B
GO_Biological_Process_2025,Positive Regulation of Cell Migration Involved in Sprouting Angiogenesis (GO:0090050),2/17,0.0029586481540932,0.0173065010303947,0,0,28.21134751773049,164.2753203692656,KDR;VEGFA
GO_Biological_Process_2025,Positive Regulation of Leukocyte Adhesion to Vascular Endothelial Cell (GO:1904996),2/17,0.0029586481540932,0.0173065010303947,0,0,28.21134751773049,164.2753203692656,FUT7;FUT4
GO_Biological_Process_2025,Cellular Response to Lipopolysaccharide (GO:0071222),4/125,0.0031016621195662,0.0180782592111862,0,0,7.1085159899389145,41.05748852006977,AXL;SERPINE1;MAPK14;MMP9
GO_Biological_Process_2025,Negative Regulation of DNA-templated Transcription (GO:0045892),12/1006,0.0031229495883325,0.0181375577514545,0,0,2.7177349813164704,15.678551531156204,APP;KDM1A;SRC;STAT1;PLK1;SIRT6;HIF1A;ESR1;HDAC6;ESR2;SNCA;VEGFA
GO_Biological_Process_2025,Protein Localization to Nucleus (GO:0034504),4/127,0.0032835862433066,0.0186729324069646,0,0,6.992223400494875,39.98726064341961,MMP12;TERT;PLK1;SIRT6
GO_Biological_Process_2025,Amyloid Precursor Protein Metabolic Process (GO:0042982),2/18,0.0033181068615317,0.0186729324069646,0,0,26.4468085106383,150.96792713266765,BACE1;ACHE
GO_Biological_Process_2025,Regulation of Vascular Endothelial Cell Proliferation (GO:1905562),2/18,0.0033181068615317,0.0186729324069646,0,0,26.4468085106383,150.96792713266765,SIRT6;FGFR1
GO_Biological_Process_2025,Estrogen Receptor Signaling Pathway (GO:0030520),2/18,0.0033181068615317,0.0186729324069646,0,0,26.4468085106383,150.96792713266765,ESR1;ESR2
GO_Biological_Process_2025,Transepithelial Transport (GO:0070633),2/18,0.0033181068615317,0.0186729324069646,0,0,26.4468085106383,150.96792713266765,ABCC1;ABCG2
GO_Biological_Process_2025,Positive Regulation of Focal Adhesion Assembly (GO:0051894),2/18,0.0033181068615317,0.0186729324069646,0,0,26.4468085106383,150.96792713266765,KDR;VEGFA
GO_Biological_Process_2025,Positive Regulation of Sprouting Angiogenesis (GO:1903672),2/18,0.0033181068615317,0.0186729324069646,0,0,26.4468085106383,150.96792713266765,PKM;VEGFA
GO_Biological_Process_2025,Positive Regulation of Stem Cell Proliferation (GO:2000648),2/18,0.0033181068615317,0.0186729324069646,0,0,26.4468085106383,150.96792713266765,KDM1A;TERT
GO_Biological_Process_2025,Protein Deacylation (GO:0035601),2/18,0.0033181068615317,0.0186729324069646,0,0,26.4468085106383,150.96792713266765,SIRT6;HDAC6
